currency,year,amortization_of_deferred_charges,total_assets,common_equity,cogs,depreciation_depletion_amortization,ebit,income_before_extraordinary_items,income_before_extraordinary_items_cashflow,total_interest_income,operating_income_before_depreciation,revenues,total_interest_expense,interest_expense_long_term_debt,staff_expense,expense_non_interest_bank,operating_expense,pension_and_retirement_expense,research_and_development_expense,rental_expense,company_name,country,ROE,ROA,cost_to_income_interest,cost_to_income,EBIT_Margin,net_interest_margin
CHF,2012,,1259232,45896,,10524,11609,-2511,,15968,12352,35533,9974,,,23924,,,,,UBS GROUP AG,CHE,-5.471065017,-0.199407258,62.46242485,149.8246493,32.67103819,
CHF,2013,,1009860,48002,,8767,11604,3376,,13137,12432,35327,7351,,,23723,,,,,UBS GROUP AG,CHE,7.03304029,0.334303765,55.95645886,180.5815635,32.84739717,
CHF,2014,,1062478,50608,,9053,9776,3608,,13194,10645,34744,6639,,,24968,,,,,UBS GROUP AG,CHE,7.129307619,0.339583502,50.31832651,189.2375322,28.13723233,
CHF,2015,,942819,55313,,8601,13179,6203,,13177,14181,37165,6445,,,23986,,,,,UBS GROUP AG,CHE,11.2143619,0.657920555,48.91098126,182.0292935,35.46078299,
CHF,2016,,935016,53621,,8053,12921,3204,,13787,13986,35732,7373,,,22811,,,,,UBS GROUP AG,CHE,5.975270883,0.342667933,53.47791398,165.4529629,36.16086421,
CHF,2017,,915642,51214,,8129,14119,1053,,14193,15215,36861,7665,,,22742,,,,,UBS GROUP AG,CHE,2.056078416,0.115001278,54.00549567,160.2339181,38.30335585,
JPY,2001,,99496829,3324447,,633878,317264,-152316,,2224981,407194,2770621,1119850,293564,,1947855,,,,,MITSUBISHI UFJ FINANCIAL GRP,JPN,-4.581694339,-0.153086286,50.33076687,87.54479252,11.45100683,1.27
JPY,2002,,99175319,3046421,,639823,52011,-161495,,1691639,134316,2097475,634520,205713,,1803697,,,,,MITSUBISHI UFJ FINANCIAL GRP,JPN,-5.301138615,-0.162837893,37.50918488,106.6242266,2.479695825,1.21
JPY,2003,,106615487,4295245,,619149,1102296,560815,,1417724,1209342,2703910,390496,149450,,1433511,,,,,MITSUBISHI UFJ FINANCIAL GRP,JPN,13.05664753,0.52601645,27.54386608,101.1135454,40.7667415,1.1
JPY,2004,,110285508,4777827,,611981,864356,338416,,1426668,980215,2467156,419691,136452,,1391990,,,,,MITSUBISHI UFJ FINANCIAL GRP,JPN,7.083052609,0.30685446,29.41756596,97.56930134,35.03450937,0.98
JPY,2005,,187046793,7727837,,1025839,1921569,770719,,2365923,2093419,4516754,884422,284912,,2131235,,,,,MITSUBISHI UFJ FINANCIAL GRP,JPN,9.973282304,0.412046092,37.38168994,90.08048867,42.54314049,1.22
JPY,2006,,187281022,8520266,,1386158,2283445,880997,,3514976,2607657,5970900,1613422,490301,,2848748,,,,,MITSUBISHI UFJ FINANCIAL GRP,JPN,10.34001755,0.470414456,45.90136604,81.04601568,38.24289471,1.38
JPY,2007,,192993179,7883339,,1372174,2019151,636624,,3867924,2370321,5959170,2027879,656831,,2910412,,,,,MITSUBISHI UFJ FINANCIAL GRP,JPN,8.075562906,0.329868653,52.42809838,75.24480833,33.8830911,1.32
JPY,2008,,198733906,6808270,,1090331,884357,-256952,,3448391,1150931,4648207,1473042,539496,,3060104,,,,,MITSUBISHI UFJ FINANCIAL GRP,JPN,-3.774115891,-0.129294495,42.71679169,88.74005297,19.02576628,1.33
JPY,2009,,204106939,9312247,,1092746,911802,388734,,2846622,1208709,4746363,669612,263417,,3480019,,,,,MITSUBISHI UFJ FINANCIAL GRP,JPN,4.174438242,0.190456043,23.52303889,122.2508292,19.21054079,1.32
JPY,2010,,206227081,8956143,,1119317,903828,583079,,2537508,1184797,4348877,517637,240853,,3191679,,,,,MITSUBISHI UFJ FINANCIAL GRP,JPN,6.51038064,0.282736388,20.39942337,125.7800567,20.78302054,1.04
JPY,2011,,218861616,10000964,,1142245,1731878,981331,,2349355,2000612,4573607,508874,251224,,2616609,,,,,MITSUBISHI UFJ FINANCIAL GRP,JPN,9.812364088,0.448379674,21.66015779,111.3756329,37.86678654,1.06
JPY,2012,,234498701,11745503,,1166955,1638171,852623,,2336956,1912799,4477921,520180,212067,,2603952,,,,,MITSUBISHI UFJ FINANCIAL GRP,JPN,7.259144202,0.363593912,22.25887009,111.4249477,36.5832939,0.97
JPY,2013,,258131946,13064794,,1219821,1795560,984845,,2370649,2086436,4787941,492122,195151,,2752789,,,,,MITSUBISHI UFJ FINANCIAL GRP,JPN,7.538159423,0.381527748,20.75895672,116.1196364,37.50171525,0.92
JPY,2014,,286149768,15326212,,1209973,1898604,1033759,,2806238,2216554,5406880,624743,230732,,3167380,,,,,MITSUBISHI UFJ FINANCIAL GRP,JPN,6.745039153,0.361265014,22.26265199,112.8692577,35.11459474,0.94
JPY,2015,,298302898,15466231,,1218922,1813502,951402,,2769248,2128960,5490115,655735,253147,,3335611,,,,,MITSUBISHI UFJ FINANCIAL GRP,JPN,6.15147931,0.318938236,23.67917211,120.45187,33.03213139,0.89
JPY,2016,,303297433,15280675,,1222436,1805323,926440,,2888134,2138471,5590109,863677,304291,,3423204,,,,,MITSUBISHI UFJ FINANCIAL GRP,JPN,6.062821178,0.305455932,29.90432577,118.526495,32.29495167,0.93
JPY,2017,,306937415,16024915,,1258675,2093774,989664,,3094990,2432584,5813270,1188223,409732,,3215670,,,,,MITSUBISHI UFJ FINANCIAL GRP,JPN,6.175783148,0.322431855,38.39182033,103.8992048,36.01714698,0.93
