currency,year,amortization_of_deferred_charges,total_assets,common_equity,cogs,depreciation_depletion_amortization,ebit,income_before_extraordinary_items,income_before_extraordinary_items_cashflow,total_interest_income,operating_income_before_depreciation,revenues,total_interest_expense,interest_expense_long_term_debt,staff_expense,expense_non_interest_bank,operating_expense,pension_and_retirement_expense,research_and_development_expense,rental_expense,company_name,country,ROE,ROA,cost_to_income_interest,cost_to_income,EBIT_Margin,net_interest_margin
EUR,2007,,1312510,37208,,6497,79090,9241,,76749,80701,88649,67773,,,9559,,,,,ING GROEP NV,NLD,24.83605676,0.704070826,88.30473361,12.45488541,89.21702444,
EUR,2008,,1331663,27334,,5170,85418,-729,,97011,87208,96828,85969,,,11410,,,,,ING GROEP NV,NLD,-2.667008122,-0.05474358,88.61778561,11.76155281,88.21621845,
EUR,2009,,1159972,36121,,5540,67074,-1423,,79850,68895,78303,67475,,,11229,,,,,ING GROEP NV,NLD,-3.939536558,-0.122675375,84.50219161,14.06261741,85.65955327,
EUR,2010,,1242844,43370,,5193,60193,2777,,68334,62029,70732,55011,,,10539,,,,,ING GROEP NV,NLD,6.403043579,0.223439144,80.50311704,15.42277636,85.10009614,
EUR,2011,,1273580,45452,,3617,55825,3636,,64649,57583,65953,51200,,,10128,,,,,ING GROEP NV,NLD,7.99964798,0.285494433,79.196894,15.66613559,84.64360984,
EUR,2012,,1162128,51761,,3641,52266,2351,,60002,53250,62224,48119,,,9958,,,,,ING GROEP NV,NLD,4.542029713,0.202301296,80.19566014,16.59611346,83.99652867,
EUR,2013,,1076602,43940,,3406,45978,4343,,51394,46768,67344,39693,,,21366,,,,,ING GROEP NV,NLD,9.883932635,0.403398842,77.2327509,41.57294626,68.27334284,
EUR,2014,,992856,50424,,3033,40411,2657,,48163,41105,51416,35859,,,11005,,,,,ING GROEP NV,NLD,5.269316199,0.267611819,74.4534186,22.84949027,78.59615684,
EUR,2015,,841769,47832,,3237,40124,4466,,46321,40758,50605,33760,,,10481,,,,,ING GROEP NV,NLD,9.336845626,0.530549355,72.88270979,22.62688629,79.28860785,
EUR,2016,,845081,49793,,3194,38136,4210,,44182,38672,48428,30941,,,10292,,,,,ING GROEP NV,NLD,8.455003715,0.498177098,70.03078177,23.29455434,78.74783183,
EUR,2017,,846216,50406,,2982,37522,4905,,43958,38042,47893,30244,,,10371,,,,,ING GROEP NV,NLD,9.730984407,0.579639241,68.80203831,23.59297511,78.34547846,
SGD,2000,0,66324.052,6769.523,,603.724,1185.876,912.895,,3061.507,1260.619,3808.797,1854.945,0,,758.476,,,,,UNITED OVERSEAS BANK LTD,SGP,13.48536669,1.376416206,60.58927842,24.7745963,31.1351852,
SGD,2001,0,113310.33,12653.706,,892.03,1259.891,924.579,,3410.284,1403.816,4140.041,1981.133,50.332,,1016.887,,,,,UNITED OVERSEAS BANK LTD,SGP,7.306784273,0.815970618,58.0929037,29.81824974,30.43184838,2.06
SGD,2002,0,107469.421,12652.638,,969.961,1602.647,1064.2,,3784.36,1912.737,4703.456,1583.358,121.012,,1691.284,,,,,UNITED OVERSEAS BANK LTD,SGP,8.410894234,0.990235167,41.83951844,44.69141414,34.07381721,2.26
SGD,2003,0,113446.399,13282.035,,849.5,1743.141,1202.086,,3336.105,2052.516,4379.21,1223.563,134.813,,1658.524,,,,,UNITED OVERSEAS BANK LTD,SGP,9.050465535,1.059607013,36.67639358,49.71438249,39.80491915,2.25
SGD,2004,0,134878.566,13438.752,,1048.46,2149.28,1451.769,,3704.323,2487.611,4946.441,1506.444,232.415,,1573.22,,,,,UNITED OVERSEAS BANK LTD,SGP,10.8028558,1.076352636,40.66718804,42.46983862,43.45103884,2.1
SGD,2005,0,145073,14097,,1147,3332,1709,,4942,3474,6206,2534,1128,,1598,,,,,UNITED OVERSEAS BANK LTD,SGP,12.12314677,1.178027614,51.27478754,32.33508701,53.68997744,1.99
SGD,2006,,161311.677,15959.084,,1216.155,7623.702,2570.488,,7289.847,7777.984,8490.699,4251.829,,,866.997,,,,,UNITED OVERSEAS BANK LTD,SGP,16.10673896,1.593491586,58.32535306,11.89321257,89.78886191,1.99
SGD,2007,,174950.291,16497.164,,1135.205,7140.333,2109.476,,7424.126,7292.148,8667.204,4390.279,,,1526.871,,,,,UNITED OVERSEAS BANK LTD,SGP,12.78690083,1.205757354,59.13529754,20.56634006,82.38334992,2.04
SGD,2008,,182940.835,13423.922,,1084.067,5764.592,1936.823,,6919.737,5909.244,7864.887,3279.739,,,2100.295,,,,,UNITED OVERSEAS BANK LTD,SGP,14.42814552,1.058715513,47.39687361,30.35223738,73.29529337,2.27
SGD,2009,,185578.377,16837.172,,1123.292,3791.416,1901.679,,5200.911,3939.242,6244.77,1485.392,,,2453.354,,,,,UNITED OVERSEAS BANK LTD,SGP,11.29452737,1.024730915,28.56022724,47.17162051,60.71346102,2.36
SGD,2010,,213778.48,19324.417,,1159.701,4658.356,2695.851,,5072.199,4806.405,6604.759,1461.652,,,1946.403,,,,,UNITED OVERSEAS BANK LTD,SGP,13.95049072,1.26104882,28.8169293,38.37394787,70.5302949,2.09
SGD,2011,,236957.745,20818.137,,1159.153,4770.477,2327.003,,5715.769,4896.574,6948.444,1962.547,,,2177.967,,,,,UNITED OVERSEAS BANK LTD,SGP,11.17776773,0.982032894,34.33565982,38.10453152,68.65532773,1.92
SGD,2012,,252899.513,22930.646,,1214.328,5635.79,2803.088,,6336.491,5764.659,7984.598,2284.623,,,2348.808,,,,,UNITED OVERSEAS BANK LTD,SGP,12.22419988,1.108380149,36.05501846,37.0679608,70.58326543,1.87
SGD,2013,,284229,24210,,,5972,3008,,6561,6102,9300,2388,,,3328,,,,,UNITED OVERSEAS BANK LTD,SGP,12.42461793,1.058301581,36.39689072,50.723975,64.21505376,1.72
SGD,2014,,306736.143,27391.807,,1351.721,6456.465,3249.101,,7237.344,6619.826,9203.875,2631.597,,,2747.41,,,,,UNITED OVERSEAS BANK LTD,SGP,11.86157963,1.05924948,36.36136406,37.96157817,70.14942076,1.71
SGD,2015,,316011.205,28590.863,,1417.158,6768.525,3208.899,,7860.357,6950.037,9815.304,2899.817,,,3046.779,,,,,UNITED OVERSEAS BANK LTD,SGP,11.22351221,1.015438361,36.89167044,38.76133107,68.95889317,1.77
SGD,2016,,340027.633,30778.705,,1563.965,7076.716,3096.289,,8321.147,7298.42,11366.982,3299.797,,,4290.266,,,,,UNITED OVERSEAS BANK LTD,SGP,10.0598417,0.910599228,39.6555547,51.55858922,62.25677141,1.71
SGD,2017,,358592.363,33875.962,,1675.201,7755.25,3390.291,,9099.355,8013.521,12509.919,3548.481,,,4754.669,,,,,UNITED OVERSEAS BANK LTD,SGP,10.0079549,0.945444284,38.99706078,52.25281352,61.99280747,1.77
SGD,2000,0,112516.932,10403.162,,659.08,4532.366,1388.846,,4979.776,4668.362,5712.682,2857.539,,,1299.31,,,,,DBS GROUP HOLDINGS LTD,SGP,13.35022948,1.234344001,57.38288228,26.09173585,79.3386714,
SGD,2001,0,151294.26,13437.566,,760.025,4377.555,999.124,,5271.026,4677.674,6399.462,3014.183,,,2251.732,,,,,DBS GROUP HOLDINGS LTD,SGP,7.435304876,0.660384604,57.18399037,42.71904559,68.40504717,1.87
SGD,2002,0,149375,14360,,547,3209,1017,,4406,3659,5565,1761,,,2663,,60,,,DBS GROUP HOLDINGS LTD,SGP,7.082172702,0.68083682,39.96822515,60.44030867,57.66397125,1.99
SGD,2003,0,159595,14810,,599,2702,1025,,3640,3300,5415,1265,,,2653,,58,,,DBS GROUP HOLDINGS LTD,SGP,6.920999325,0.642250697,34.75274725,72.88461538,49.89843029,1.78
SGD,2004,0,175553,16436,,845,3957,2018,,4083,4544,6317,1445,,,2275,,52,,,DBS GROUP HOLDINGS LTD,SGP,12.2779265,1.149510404,35.39064413,55.71883419,62.64049391,1.79
SGD,2005,0,180204,16658,,756,2028,824,,5639,3304,7388,2599,690,,3508,,5,,,DBS GROUP HOLDINGS LTD,SGP,4.946572218,0.45725955,46.08973222,62.20961163,27.44991879,1.91
SGD,2006,0,197372,18675,,429,3938,2269,,7867,4068,9820,4218,934,,2842,,55,,,DBS GROUP HOLDINGS LTD,SGP,12.14993307,1.14960582,53.61637219,36.1255879,40.10183299,2.2
SGD,2007,,233591,20415,,342,8020,2278,,9090,8146,10147,4982,,,2127,,,,,DBS GROUP HOLDINGS LTD,SGP,11.15846192,0.975208805,54.80748075,23.39933993,79.03813935,2.17
SGD,2008,,256718,19753,,339,6451,1929,,8122,6600,8744,3821,,,2293,,,,,DBS GROUP HOLDINGS LTD,SGP,9.765605225,0.75140816,47.04506279,28.23196257,73.77630375,2.04
SGD,2009,,258644,25126,,655,4172,2041,,6114,4367,7211,1659,,,3039,,,,,DBS GROUP HOLDINGS LTD,SGP,8.123059779,0.789115541,27.13444553,49.70559372,57.85605325,2.02
SGD,2010,,283710,26352,,,4713,1632,,5699,4906,7239,1381,,,2526,,,,,DBS GROUP HOLDINGS LTD,SGP,6.193078324,0.575235275,24.23232146,44.32356554,65.10567758,1.84
SGD,2011,,340847,28545,,,5463,3035,,6555,5648,8188,1730,,,2725,,,,,DBS GROUP HOLDINGS LTD,SGP,10.63233491,0.890428843,26.39206712,41.5713196,66.71958964,1.77
SGD,2012,,353033,31574,,,6943,3809,,7621,7122,9578,2336,,,2635,,,,,DBS GROUP HOLDINGS LTD,SGP,12.06372332,1.078935963,30.65214539,34.57551502,72.48903738,1.7
SGD,2013,,402008,34070,,892,6955,3672,,7986,7169,11644,2417,,,4689,,,,,DBS GROUP HOLDINGS LTD,SGP,10.77781039,0.913414658,30.26546456,58.71525169,59.73033322,1.7
SGD,2014,,440666,37545,,1033,7550,4046,,8948,7770,10731,2627,,,3181,,,,,DBS GROUP HOLDINGS LTD,SGP,10.77640165,0.918155701,29.35851587,35.54984354,70.35690989,1.68
SGD,2015,,457834,40374,,1250,7824,4454,,9644,8075,11473,2544,,,3649,,,,,DBS GROUP HOLDINGS LTD,SGP,11.03185218,0.972841685,26.37909581,37.8369971,68.19489236,1.77
SGD,2016,,481570,44609,,1439,7526,4238,,9748,7801,13932,2443,,,6406,,,,,DBS GROUP HOLDINGS LTD,SGP,9.500325047,0.880038208,25.06155109,65.71604432,54.0195234,1.8
SGD,2017,,517711,47458,,1469,8214,4371,,10833,8511,15316,3042,,,7102,,,,,DBS GROUP HOLDINGS LTD,SGP,9.210249062,0.844293438,28.08086403,65.55894028,53.63019065,1.75
KRW,2000,0,49567605,2731650,,499527,1594257,369069,,3627208,1715538,4575270,2734168,985679,,1372922,,36606,,,SHINHAN FINANCIAL GROUP LTD,KOR,13.51084509,0.744577028,75.37941028,37.85065538,34.84509111,
KRW,2001,0,56329649,3112671,,442083,628373,220763,,1823460,684154,2448037,1243015,265016,,1115705,,29462,,,SHINHAN FINANCIAL GROUP LTD,KOR,7.092397494,0.391912614,68.16793349,61.1861516,25.66844374,2.66
KRW,2002,,64786130,3262607,,487013,3362023,589422,,3735300,3466261,4479001,2305128,,,1116978,,,,,SHINHAN FINANCIAL GROUP LTD,KOR,18.0659822,0.909796588,61.711991,29.90330094,75.06189438,2.58
KRW,2003,,136349331,3395398,,583118,3546619,275318,,5330942,3793635,5856253,2998053,,,2309634,,,,,SHINHAN FINANCIAL GROUP LTD,KOR,8.108563414,0.201921049,56.23870978,43.32506338,60.56123258,2.65
KRW,2004,,143508022,5664719,,776918,6520176,1462411,,7711905,6949011,8491175,4137993,,,2323695,,,,,SHINHAN FINANCIAL GROUP LTD,KOR,25.8161261,1.019044775,53.65720921,30.13127107,76.78767662,2.78
KRW,2005,,155115313,7810784,,879608,6711136,1738768,,7487541,7088486,8807402,4013903,,,2190037,,,,,SHINHAN FINANCIAL GROUP LTD,KOR,22.26112001,1.120951869,53.60775988,29.24908191,76.1988155,2.7
KRW,2006,,177725169,11098606,,1545891,7295844,1832718,,9383974,7662863,10585660,4782167,,,3414128,,,,,SHINHAN FINANCIAL GROUP LTD,KOR,16.51304677,1.031209035,50.96100011,36.382539,68.92195668,2.74
KRW,2007,,220876014,17496326,,1981266,10754127,2396377,,13453513,11456508,15301365,6867606,,,4705522,,,,,SHINHAN FINANCIAL GROUP LTD,KOR,13.69645833,1.084942161,51.04693473,34.97615827,70.2821415,2.3
KRW,2008,,264015287,17122639,,2007903,11859063,2018627,,16680992,12665364,16664858,8865217,,,4956393,,,,,SHINHAN FINANCIAL GROUP LTD,KOR,11.78922828,0.764587166,53.14562227,29.71281924,71.16210051,2.12
KRW,2009,,255018087,20244135,,2101862,9265441,1289851,,13979722,9995488,14078561,7285966,,,5547639,,,,,SHINHAN FINANCIAL GROUP LTD,KOR,6.371479937,0.505788046,52.11810364,39.68347153,65.81241506,1.72
KRW,2010,,266031752,22243278,,2073305,9566807,2383936,,14511753,10341124,15317179,6478056,,,5246235,,,,,SHINHAN FINANCIAL GROUP LTD,KOR,10.71755701,0.896109574,44.64006519,36.15162827,62.45802181,3.5
KRW,2011,,288117481,24122446,,1651865,11013029,3100011,,13989574,11284687,16041771,6700743,,,5042616,,,,,SHINHAN FINANCIAL GROUP LTD,KOR,12.85114702,1.075953805,47.89812041,36.04552933,68.6522018,2.8
KRW,2012,,300848489,26036622,,1694964,10434064,2322732,,14032895,10707532,15584423,6882901,,,5430387,,,,,SHINHAN FINANCIAL GROUP LTD,KOR,8.921019017,0.772060384,49.04833251,38.69755314,66.95187881,2.6
KRW,2013,,311296843,27268618,,1740048,9021606,1902808,,12746031,9317543,14807231,5985159,,,6081812,,,,,SHINHAN FINANCIAL GROUP LTD,KOR,6.978014067,0.611251943,46.95704098,47.71533978,60.9270295,2.36
KRW,2014,,338021804,28910044,,1769328,8420672,2081110,,12236305,8712649,13833794,5270707,,,5636840,,,,,SHINHAN FINANCIAL GROUP LTD,KOR,7.19857085,0.615673301,43.07433494,46.0665209,60.87030066,2.31
KRW,2015,,370539622,30565600,,1781737,7933245,2367171,,11437981,8192471,13591492,4436771,,,5736483,,,,,SHINHAN FINANCIAL GROUP LTD,KOR,7.744559243,0.638844231,38.78980915,50.15293346,58.36919891,2.08
KRW,2016,,395680324,30835643,,1880440,7209008,2774778,,11517925,7457256,13248166,4030936,,,6500829,,,,,SHINHAN FINANCIAL GROUP LTD,KOR,8.998605931,0.701267622,34.99706761,56.44097353,54.41513942,2.05
KRW,2017,,426305656,32545084,,1915588,8044352,2917735,,12055960,8292378,13678447,3955701,,,5998101,,,,,SHINHAN FINANCIAL GROUP LTD,KOR,8.965209615,0.684423244,32.8111656,49.75216407,58.81041905,2.13
CHF,2000,,1087552,44833,,9721,38154,7792,,51745,40429,79887,43615,7731,,26073,,475,,,UBS GROUP AG,CHE,17.38005487,0.716471488,84.28833704,50.38747705,47.75996094,
CHF,2001,0,1253297,43530,,10784,36866,4973,,52277,39803,82726,44236,7816,,31772,,603,,,UBS GROUP AG,CHE,11.42430508,0.396793418,84.61847466,60.77624959,44.5639823,
CHF,2002,0,1181118,38991,,10081,27578,3535,,39963,31559,65890,29417,4587,,31929,,676,,,UBS GROUP AG,CHE,9.066194763,0.299292704,73.6105898,79.89640417,41.85460616,
CHF,2003,0,1386000,35446,,10458,31115,6385,,40159,41913,64209,27860,3043,,28001,,721,,,UBS GROUP AG,CHE,18.01331603,0.460678211,69.37423741,69.72534177,48.45893878,
CHF,2004,0,1734784,34978,,10820,32683,8089,,39398,34999,70729,27538,2834,,,,707,,,UBS GROUP AG,CHE,23.12596489,0.466282834,69.89694908,0,46.20876868,
CHF,2005,0,2060250,44324,,12275,51727,9844,,59286,53554,103110,49758,4926,,,,736,,,UBS GROUP AG,CHE,22.2091869,0.477806091,83.92875215,0,50.16681214,
CHF,2006,0,2396511,49686,,11578,75523,11491,,87401,76939,132231,80880,7545,,,,802,,,UBS GROUP AG,CHE,23.12723906,0.479488723,92.53898697,0,57.11444366,
CHF,2007,,2272579,35585,,7656,122174,-4785,,109112,123709,157293,103775,,,35119,,,,,UBS GROUP AG,CHE,-13.44667697,-0.210553737,95.10869565,32.186194,77.672878,
CHF,2008,,2015098,32800,,7849,69522,-21036,,65890,70956,96485,59687,,,26963,,,,,UBS GROUP AG,CHE,-64.13414634,-1.043919452,90.58582486,40.92123236,72.05472353,
CHF,2009,,1340538,41013,,8081,18716,-2719,,23461,19907,41744,17016,,,23028,,,,,UBS GROUP AG,CHE,-6.629605247,-0.202829013,72.52887771,98.15438387,44.83518589,
CHF,2010,,1317247,46820,,8071,20928,7533,,18872,21951,44718,12657,,,23790,,,,,UBS GROUP AG,CHE,16.08927809,0.571874523,67.0676134,126.0597711,46.79994633,
CHF,2011,,1419162,53446,,7410,16934,4159,,17969,17785,39015,11143,,,22081,,,,,UBS GROUP AG,CHE,7.781686188,0.293060271,62.01235461,122.8838555,43.40381904,
